"departamento","arma ","fecha","genero","población"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","5/27/2022","FEMENINO","ADULTOS"
"VALLE","ARMA BLANCA / CORTOPUNZANTE","1/13/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/17/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/10/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/30/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/14/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/3/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/7/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/18/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/11/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/29/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/6/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/17/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","8/10/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/5/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","5/6/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/19/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/14/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/9/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/15/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","8/2/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/2/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/7/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/24/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/17/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","8/3/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/10/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/1/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/16/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","7/7/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","7/28/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","7/30/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","1/2/2022","MASCULINO","ADULTOS"
